title,intro,url,rating,star,star_time,comment,
小妇人,2019 / 美国 / 剧情 爱情 / 格蕾塔·葛韦格 / 西尔莎·罗南 艾玛·沃森,https://movie.douban.com/subject/26348103/,8.0,5,2021.10.04 《小妇人》🌟🌟🌟🌟🌟镜头对比出温馨的少女时光和艰辛的成长岁月，还是好喜欢Jo全家。片中Jo拒绝Laurie时背景的壮阔秋色，层林尽染，万山红遍，是否预示着Jo的未来，也将如活在山野般那样自由？,,
暗恋橘生淮南,2019 / 中国大陆 / 剧情 爱情 / 丁培 八月长安 / 朱颜曼滋 赵顺然,https://movie.douban.com/subject/26811775/,6.6,3,2019.07.28 《暗恋橘生淮南》🌟🌟🌟1.5倍速看完前八集。朱颜曼滋完全就是我心中的洛枳，张明瑞也十分可爱，只是男主让人出戏。,,
流浪猫鲍勃,2016 / 英国 / 剧情 喜剧 传记 / 罗杰·斯波蒂斯伍德 / 卢克·崔德威 猫鲍勃,https://movie.douban.com/subject/26685451/,7.9,3,2019.06.01 《流浪猫鲍勃》🌟🌟🌟鲍勃本勃真的非常有范儿！熟悉的城市，那些街头无家可归的人，有狗狗陪伴是不是也算一种安慰？,,
新职员诞生记：好人,2019 / 韩国 / 真人秀 / 姜虎东 李寿根,https://movie.douban.com/subject/30463323/,9.4,4,2019.06.02 《新职员诞生记：好人》🌟🌟🌟🌟很喜欢蔡律师和权律师。小林小李两位实习生毫无疑问最出众，可是我还是最喜欢多京和周美>3<,,
破冰行动,2019 / 中国大陆 / 剧情 犯罪 悬疑 / 傅东育 刘璋牧 李理 / 黄景瑜 吴刚,https://movie.douban.com/subject/27052168/,6.8,3,2019.05.26 《破冰行动》🌟🌟🌟达康书记和言侯爷👍李飞：一位非常赶客的男主角。,,
向往的生活 第三季,2019 / 中国大陆 / 真人秀 / 陈格洲 / 黄磊 何炅,https://movie.douban.com/subject/30441625/,7.3,3,2019.07.28 《向往的生活第三季》🌟🌟🌟🌟终于集齐了彭彭和子枫两兄妹🤣,,
我不是潘金莲,2016 / 中国大陆 / 剧情 喜剧 / 冯小刚 / 范冰冰 郭涛,https://movie.douban.com/subject/26630781/,6.7,3,2019.04.18 《我不是潘金莲》🌟🌟🌟“拖了十多年。我们究竟是想帮助她，还是怕丢了自己的帽子？” 真是荒诞。,,
我们与恶的距离,2019 / 中国台湾 / 剧情 / 林君阳 / 贾静雯 温升豪,https://movie.douban.com/subject/30181230/,9.4,4,2019.04.17 《我们与恶的距离》🌟🌟🌟🌟立意很高，叙述却能扎实落地。以新闻媒体为中心、以社会事件为线索，串联起死刑罪犯家庭、记者家庭、精神科医生家庭、精神病患家庭，对于被告人人权和死刑意义进行探讨，非常精彩。结局治愈。,,
公关 第一季,2019 / 英国 / 喜剧 / 彼得·卡坦纽 乔治·凯恩 / 安娜·帕奎因 莉迪亚·威尔逊,https://movie.douban.com/subject/30395072/,8.5,4,2019.05.26 《公关第一季》🌟🌟🌟🌟三位职场女性魅力无穷。,,
摘金奇缘,2018 / 美国 / 喜剧 爱情 / 朱浩伟 / 吴恬敏 亨利·戈尔丁,https://movie.douban.com/subject/26786642/,6.0,2,2019.04.11 《摘金奇缘》🌟🌟坡县爱情故事。,,
创造营2019,2019 / 中国大陆 / 歌舞 真人秀 / 孙莉 / 迪丽热巴 郭富城,https://movie.douban.com/subject/30373781/,5.5,2,2019.05.26 《创造营2019》🌟🌟提前下岛啦！这个夏天认识了一位非常棒的小朋友，即使不能成团，也一定会拥有属于自己的精彩未来。,,
社交网络,2010 / 美国 / 剧情 传记 / 大卫·芬奇 / 杰西·艾森伯格 安德鲁·加菲尔德,https://movie.douban.com/subject/3205624/,8.2,4,2019.03.27 《社交网络》🌟🌟🌟🌟很精彩的叙事。Armie真帅:D,,
